Level;800m;1000m;1500m;3000m;5km;10km;15km;HalfMarathon;Marathon;100km
IA;105.54;136;214;464;790;1670;2610;3690;7800;23700
IB;106.54;137.5;217;470;805;1695;2640;3735;7950;24780
N1;108;139;222;480;825;1740;2670;3840;8100;25800
N2;110;141.5;226;490;840;1785;2740;3930;8400;26700
N3;112;144;230;500;860;1830;2810;4020;8640;27600
N4;114;146.5;234;510;880;1875;2880;4110;8880;28500
IR1;117;150;239;520;900;1920;2950;4230;9120;29400
IR2;119;152.5;244;530;920;1965;3020;4350;9360;30300
IR3;121;155;249;540;940;2010;3090;4440;9600;31200
IR4;123;158;254;550;960;2055;3160;4530;9840;31800
R1;125;161;259;560;980;2100;3230;4650;10080;32400
R2;127;164;264;570;1000;2145;3300;4740;10380;33000
R3;129;167;269;580;1020;2190;3370;4830;10680;33600
R4;131;170;274;590;1040;2235;3440;4950;10980;34200
R5;134;173;279;600;1060;2280;3510;5040;11280;34800
R6;137;177;284;610;1080;2325;3585;5220;11640;35400
D1;140;181;289;620;1100;2370;3660;5400;12000;36000
D2;142;184;294;630;1120;2430;3780;5640;12360;37200
D3;144;188;299;640;1150;2490;3900;5820;12840;38400
D4;147;192;304;660;1180;2580;4020;6060;13320;39600
D5;150;196;312;675;1210;2700;4260;6300;13800;40800
D6;153;200;320;690;1260;2820;4440;6600;14400;42000
D7;156;205;328;705;1320;3000;4680;6900;15000;43200
